disease_id,disease_code,disease_name,version,status,time_stamp
ADHD/2026,ADHD,ADHD,v1.0,true,2026-04-07 09:52:56.497476+00
AFTERSTROKE/TBI/2026,AFTERSTROKETBI,After Stroke/TBI,v1.0,true,2026-04-07 09:52:56.497476+00
ALS/2026,ALS,ALS,v1.0,true,2026-04-07 09:52:56.497476+00
ATAXIA/2026,ATAXIA,Ataxia,v1.0,true,2026-04-07 09:52:56.497476+00
CHRONICPAIN/2026,CHRONICPAIN,Chronic Pain,v1.0,true,2026-04-07 09:52:56.497476+00
DEMENTIA/2026,DEMENTIA,Dementia,v1.0,true,2026-04-07 09:52:56.497476+00
DEPRESSION/ANXIETY/2026,DEPRESSIONANXIETY,Depression/Anxiety,v1.0,true,2026-04-07 09:52:56.497476+00
FIBROMYALGIA/2026,FIBROMYALGIA,Fibromyalgia,v1.0,true,2026-04-07 09:52:56.497476+00
INSOMNIA/2026,INSOMNIA,Insomnia,v1.0,true,2026-04-07 09:52:56.497476+00
IRRITABLEBOWELDISEASE/2026,IRRITABLEBOWELDISEASE,Irritable Bowel Disease,v1.0,true,2026-04-07 09:52:56.497476+00
MIGRAINE/2026,MIGRAINE,Migraine,v1.0,true,2026-04-07 09:52:56.497476+00
MULTIPLESCLEROSIS/2026,MULTIPLESCLEROSIS,Multiple Sclerosis,v1.0,true,2026-04-07 09:52:56.497476+00
PARKINSONSDISEASE/2026,PARKINSONSDISEASE,Parkinson's Disease,v1.0,true,2026-04-07 09:52:56.497476+00
TINNITUS/2026,TINNITUS,Tinnitus,v1.0,true,2026-04-07 09:52:56.497476+00