scale_id,scale_code,scale_name,is_common_scale,num_diseases_used,created_at,updated_at
AIS/2026,AIS,AIS - Athens Insomnia Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
ALSFRS-R/2026,ALSFRS-R,ALSFRS-R - ALS Functional Rating Scale - Revised,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
AMTS/2026,AMTS,AMTS - Abbreviated Mental Test Score,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
ASRS-v1.1/2026,ASRS-v1.1,ASRS-v1.1 - Adult ADHD Self-Report Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
BARTHEL/2026,BARTHEL,Barthel Index,true,2,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
BDI-II/2026,BDI-II,BDI-II - Beck's Depression Inventory Version 2,true,5,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
COMPASS-31/2026,COMPASS-31,COMPASS-31,true,14,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
DASS-21/2026,DASS-21,DASS-21,true,11,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
DHI/2026,DHI,DHI - Dizziness Handicap Inventory,true,2,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
DN-4/2026,DN-4,DN-4,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
DSRS/2026,DSRS,DSRS - Dementia Severity Rating Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
EQ-5D-5L/2026,EQ-5D-5L,EQ-5D-5L Health Questionnaire,true,12,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
FFS/2026,FFS,FFS - Flinders Fatigue Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
FIQR/2026,FIQR,FIQR - Revised Fibromyalgia Impact Questionnaire,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
FSS/2026,FSS,FSS - Fatigue Severity Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
GAD-7/2026,GAD-7,GAD-7,true,5,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
GDS/2026,GDS,GDS - Global Deterioration Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
HDRS/2026,HDRS,HDRS - Hamilton Depression Rating Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
IADL/2026,IADL,IADL - Lawton Instrumental Activities of Daily Living Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
IBS-SSS/2026,IBS-SSS,IBS-SSS - IBS Symptom Severity Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
ISI/2026,ISI,ISI - Insomnia Severity Index,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
KPS/2026,KPS,KPS - Karnofsky Performance Status Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MADRS/2026,MADRS,MADRS - Montgomery and Asberg Depression Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MAS/2026,MAS,MAS - Modified Ashworth Scale,true,2,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MFIS/2026,MFIS,MFIS - Modified Fatigue Impact Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MIDAS/2026,MIDAS,MIDAS - Migraine Disability Assessment,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MoCA/2026,MoCA,MoCA - Montreal Cognitive Assessment,true,4,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MRC/2026,MRC,MRC - Medical Research Council Scale for Muscle Strength,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
MSQ/2026,MSQ,MSQ - Migraine-specific Quality of Life Questionnaire,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
PainDETECT/2026,PainDETECT,PainDETECT,true,4,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
PDSS/2026,PDSS,PDSS - Parkinson's Disease Sleep Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
PFS-16/2026,PFS-16,PFS-16 - Parkinson's Disease Fatigue Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
PRS/2026,PRS,Pain Rating Scale,true,4,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
PSQI/2026,PSQI,PSQI - Pittsburgh Sleep Quality Index,true,5,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
SARA/2026,SARA,SARA - Scale for the Assessment and Rating of Ataxia,true,2,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
SLEEP-50/2026,SLEEP-50,Sleep-50,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
SNAP-IV/2026,SNAP-IV,SNAP-IV 26-Item Teacher and Parent Rating Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
SS-QOL/2026,SS-QOL,SS-QOL - Stroke Specific Quality of Life Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
THI/2026,THI,THI - Tinnitus Handicap Inventory,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
VAS/2026,VAS,VAS,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00
VVAS/2026,VVAS,VVAS - Visual Vertigo Analogue Scale,false,1,2026-04-07 09:52:56.497476+00,2026-04-07 09:52:56.497476+00